iter	Logloss
0	0.674362285
1	0.6603339278
2	0.6457388449
3	0.6278459178
4	0.6121646446
5	0.597207447
6	0.5828078609
7	0.5738233016
8	0.561219849
9	0.5509997886
10	0.5425374588
11	0.5303288914
12	0.5225761465
13	0.5129121102
14	0.5025765848
15	0.4937922843
16	0.4837246581
17	0.4751510108
18	0.4663599001
19	0.4608385227
20	0.4528248422
21	0.4450495163
22	0.4385337062
23	0.431163711
24	0.4271134754
25	0.4210651833
26	0.4167689893
27	0.4109278941
28	0.4063793669
29	0.4016834745
30	0.3978844201
31	0.3931418297
32	0.3903563327
33	0.3877618777
34	0.3854214457
35	0.3810523628
36	0.377748451
37	0.3732355617
38	0.368620162
39	0.3649132748
40	0.3626397152
41	0.360852696
42	0.3572503928
43	0.3537404361
44	0.3500249466
45	0.3483031612
46	0.3450711654
47	0.3432594402
48	0.3415935952
49	0.3391024186
50	0.3376226233
51	0.3361686348
52	0.3346834119
53	0.3321309442
54	0.3308724525
55	0.3286652533
56	0.3272112904
57	0.3245816839
58	0.3233857891
59	0.3220813674
60	0.3208314268
61	0.3190255901
62	0.3179190719
63	0.3167216666
64	0.3155578255
65	0.3139323804
66	0.3119766952
67	0.310749438
68	0.3095542857
69	0.3084134864
70	0.3067170726
71	0.3057144728
72	0.304181451
73	0.303273937
74	0.3024468134
75	0.3013913199
76	0.3006226712
77	0.2991207046
78	0.2981854125
79	0.2970864213
80	0.2957250608
81	0.2950800953
82	0.2944406599
83	0.2935129204
84	0.2923459047
85	0.2912647836
86	0.2898845289
87	0.2891481643
88	0.2879124584
89	0.2867474652
90	0.2859735169
91	0.2849875073
92	0.284044509
93	0.2833110374
94	0.2826771064
95	0.281625274
96	0.2809754698
97	0.2800549501
98	0.2791037848
99	0.2784192386
100	0.2778049187
101	0.277271322
102	0.2768495291
103	0.2759447034
104	0.2755057316
105	0.2749524725
106	0.2746763805
107	0.2739732986
108	0.2733901363
109	0.2727697488
110	0.2721495916
111	0.2716834049
112	0.2709132969
113	0.2702309525
114	0.2698036552
115	0.2692905912
116	0.2689308576
117	0.2684206355
118	0.267875825
119	0.267401164
120	0.266705225
121	0.2661966413
122	0.2655940728
123	0.2651965762
124	0.2647300311
125	0.2639157596
126	0.2633018238
127	0.2629049416
128	0.262326567
129	0.2620042122
130	0.2615892551
131	0.2612913503
132	0.2608506888
133	0.2604442827
134	0.2599618387
135	0.2595332357
136	0.2590293628
137	0.2585568268
138	0.2581044908
139	0.2578360282
140	0.2574340001
141	0.2566567491
142	0.2560839045
143	0.2558988021
144	0.255618281
145	0.2554014577
146	0.2548487106
147	0.2543529024
148	0.2539006688
149	0.2533643326
150	0.2529649414
151	0.2526421515
152	0.2523342107
153	0.251916719
154	0.2515469237
155	0.2509659633
156	0.2504713839
157	0.2502477249
158	0.2499722986
159	0.2496571637
160	0.2492652739
161	0.2488042076
162	0.24826037
163	0.2478662273
164	0.2475054952
165	0.2469326762
166	0.2465712528
167	0.2462051187
168	0.2458859898
169	0.2452529293
170	0.2448395595
171	0.2444943422
172	0.2441149974
173	0.2437012436
174	0.2433823195
175	0.2430323146
176	0.2427331297
177	0.2424617486
178	0.2422997135
179	0.2418977878
180	0.2415796318
181	0.2413829317
182	0.2410477248
183	0.240640525
184	0.2402883952
185	0.2399307865
186	0.239688182
187	0.239300235
188	0.2390279066
189	0.2388934961
190	0.2386034511
191	0.2383756446
192	0.2380657324
193	0.237664754
194	0.237283233
195	0.2370270339
196	0.236770169
197	0.236440569
198	0.2361956091
199	0.2358800389
200	0.235414185
201	0.2352277
202	0.2349686079
203	0.2345270759
204	0.2340786825
205	0.2337495945
206	0.2334054012
207	0.2332099556
208	0.2327581316
209	0.2325524452
210	0.2324350344
211	0.2320207429
212	0.2318284208
213	0.2314859685
214	0.2312442856
215	0.2308211615
216	0.2306453014
217	0.230327299
218	0.2301037936
219	0.2298220692
220	0.2294083922
221	0.2291089512
222	0.2290010388
223	0.2287763557
224	0.2283381776
225	0.2281608838
226	0.2276807439
227	0.2274420821
228	0.2271775111
229	0.226868367
230	0.2265735089
231	0.2263143143
232	0.2260479255
233	0.2258713741
234	0.2255065457
235	0.2252231316
236	0.2249829849
237	0.2246902773
238	0.2243151057
239	0.2240696849
240	0.2237711657
241	0.2235469434
242	0.2233727474
243	0.2232548246
244	0.2227502349
245	0.2224594475
246	0.2220492779
247	0.2217448958
248	0.2215846529
249	0.2214570013
250	0.2212724366
251	0.2208614221
252	0.2205625956
253	0.2202707841
254	0.219856339
255	0.2196156035
256	0.219447808
257	0.2192974731
258	0.219006788
259	0.2188647993
260	0.2186289026
261	0.2184980252
262	0.2182260808
263	0.2180125345
264	0.2177121463
265	0.2173195141
266	0.2171174888
267	0.2169354586
268	0.2167104939
269	0.2165606198
270	0.2163031405
271	0.2160926665
272	0.2158543376
273	0.2156586359
274	0.2154856944
275	0.2151564016
