iter	Passed	Remaining
0	142	142350
1	153	76746
2	160	53416
3	173	43236
4	187	37347
5	198	32816
6	209	29783
7	220	27347
8	228	25107
9	234	23229
10	247	22240
11	257	21226
12	266	20205
13	273	19238
14	281	18488
15	290	17851
16	296	17166
17	302	16518
18	310	16053
19	317	15541
20	326	15224
21	333	14809
22	340	14447
23	347	14150
24	357	13924
25	369	13838
26	381	13757
27	393	13652
28	406	13615
29	414	13397
30	426	13346
31	441	13347
32	450	13211
33	458	13033
34	465	12839
35	478	12816
36	491	12797
37	500	12667
38	512	12632
39	523	12567
40	534	12503
41	560	12785
42	571	12716
43	580	12609
44	591	12548
45	602	12496
46	615	12487
47	629	12478
48	637	12380
49	648	12321
50	658	12248
51	667	12166
52	675	12065
53	682	11951
54	690	11859
55	697	11753
56	707	11711
57	714	11596
58	720	11487
59	726	11387
60	735	11319
61	743	11241
62	751	11170
63	760	11120
64	773	11128
65	782	11075
66	793	11054
67	805	11036
68	814	10989
69	826	10978
70	837	10953
71	844	10883
72	855	10858
73	862	10798
74	871	10749
75	879	10695
76	886	10625
77	893	10556
78	902	10521
79	910	10465
80	919	10429
81	925	10361
82	931	10291
83	939	10241
84	945	10181
85	952	10124
86	958	10061
87	965	10004
88	975	9983
89	984	9957
90	995	9948
91	1004	9914
92	1013	9887
93	1020	9834
94	1025	9773
95	1032	9718
96	1037	9655
97	1042	9597
98	1049	9550
99	1054	9492
100	1060	9442
101	1066	9386
102	1071	9328
103	1076	9271
104	1081	9214
105	1085	9158
106	1091	9105
107	1096	9056
108	1101	9005
109	1108	8969
110	1113	8920
111	1119	8876
112	1125	8830
113	1130	8789
114	1135	8740
115	1140	8693
116	1146	8655
117	1152	8611
118	1157	8571
119	1164	8539
120	1169	8495
121	1175	8456
122	1179	8408
123	1183	8360
124	1187	8315
125	1193	8280
126	1203	8274
127	1210	8244
128	1215	8208
129	1225	8199
130	1230	8165
131	1235	8126
132	1240	8088
133	1246	8052
134	1250	8014
135	1256	7980
136	1261	7946
137	1267	7916
138	1273	7887
139	1278	7852
140	1283	7820
141	1289	7791
142	1295	7764
143	1301	7736
144	1306	7704
145	1312	7674
146	1318	7650
147	1323	7621
148	1329	7595
149	1335	7570
150	1340	7539
151	1346	7509
152	1351	7479
153	1356	7449
154	1361	7419
155	1367	7397
156	1372	7372
157	1379	7351
158	1385	7326
159	1391	7306
160	1396	7278
161	1401	7249
162	1405	7218
163	1409	7185
164	1413	7154
165	1417	7122
166	1421	7090
167	1425	7058
168	1429	7027
169	1433	6998
170	1437	6966
171	1440	6935
172	1445	6910
173	1452	6894
174	1457	6870
175	1463	6850
176	1467	6824
177	1471	6795
178	1475	6765
179	1480	6742
180	1484	6715
181	1487	6687
182	1491	6659
183	1496	6635
184	1500	6609
185	1505	6588
186	1510	6565
187	1515	6545
188	1519	6521
189	1524	6500
190	1531	6485
191	1537	6468
192	1543	6455
193	1548	6434
194	1553	6415
195	1559	6397
196	1564	6376
197	1569	6355
198	1573	6334
199	1578	6315
200	1583	6293
201	1587	6272
202	1593	6256
203	1598	6237
204	1603	6219
205	1609	6204
206	1614	6185
207	1619	6165
208	1625	6152
209	1630	6132
210	1634	6112
211	1639	6095
212	1644	6077
213	1649	6058
214	1654	6039
215	1659	6024
216	1664	6006
217	1669	5988
218	1674	5972
219	1678	5952
220	1682	5931
221	1687	5912
222	1692	5896
223	1697	5879
